Marke,Modell,Farbe,Erstzulassung,Jahr,Preis (Euro),Leistung (kW),Leistung (PS),Getriebe,Kraftstoff,Verbrauch (l/100 km),Kilometerstand (km),Bemerkungen,Zustand
mercedes-benz,Mercedes-Benz Sprinter,weiß,04/2007,2007,19999,110,150,Schaltgetriebe,Diesel,8.8,9500.0,315 CDI 906.633 1S17 5272,Gebrauchtwagen
seat,SEAT Ibiza,grau,05/2017,2017,13985,81,110,Schaltgetriebe,Benzin,4.3,33100.0,"1.0 TSI Style *Panorama, Navi, Klimaauto., CarPlay",Gebrauchtwagen
renault,Renault Captur,blau,06/2023,2023,27988,103,140,Automatik,Benzin,6.0,10.0,TCe 140 EDC (AUTOM.) GPF TECHNO NAVI R-KAM KLIMAUT,Neuwagen
seat,SEAT Arona,rot,11/2018,2018,16490,85,116,Automatik,Benzin,5.0,106450.0,FR+AHK+SHZ+NAVI+LED+FULL LINK+PDC+KAMERA,Gebrauchtwagen
ford,Ford C-Max,braun,09/2018,2018,15480,92,125,Schaltgetriebe,Benzin,5.7,65622.0,"1.0 Titanium, Winter Pak., Navi, Kamera",Gebrauchtwagen
kia,Kia Sportage,weiß,10/2016,2016,22550,130,177,Automatik,Benzin,7.5,50350.0,"1.6T (177PS) GT-Line, DCT, 4WD, Leder, Glasdach",Gebrauchtwagen
audi,Audi A6 allroad,blau,11/2019,2019,48999,257,349,Automatik,Diesel,6.4,49570.0,quattro 55 TDI Panorama UPE : 89805 €,Gebrauchtwagen
mini,MINI John Cooper Works Cabrio,weiß,04/2020,2020,36990,170,231,Automatik,Benzin,6.2,30145.0,VOLLFOLIERT CHILI HUD H/K DAB DA NAVI+,junger Gebrauchtwagen
opel,Opel Astra,grau,05/2023,2023,25590,96,131,Automatik,Benzin,5.6,500.0,Business Edition 1.2*Navi*Shz*RFK*PDC*,Jahreswagen
opel,Opel Astra,grau,01/2019,2019,15950,110,150,Automatik,Benzin,7.5,47669.0,K 1.4 Turbo Edition,Gebrauchtwagen
mercedes-benz,Mercedes-Benz B 180,grau,03/2019,2019,24680,100,136,Automatik,Benzin,5.5,28314.0,Style 7G-DCT Navi Premium LED Kamera,Gebrauchtwagen
seat,SEAT Ateca,schwarz,04/2023,2023,33395,110,150,Schaltgetriebe,Benzin,6.7,10.0,"FR 1.5 TSI FR, KESSY, AHK, el.Klappe, Navi, 5 J...",Neuwagen
toyota,Toyota,grau,04/2019,2019,11990,53,72,Automatik,Benzin,4.1,33730.0,"Aygo (X) 1,0-l-VVT-i x Aut.KLIMA KAM Insp+TÜVNeu",Gebrauchtwagen
volkswagen,Volkswagen Polo,blau,03/2003,2003,3350,55,75,Schaltgetriebe,Diesel,4.4,115000.0,1.4 TDI Comfortline,Gebrauchtwagen
